model,data_idx,layer,neuron_idx,activation,layer_type
model1,146,,0,0.44750968,conv
model1,146,features,66104,0.0,conv
model1,146,features,59126,0.0,conv
model1,146,features,37281,0.0,conv
model1,146,features,81498,0.0,conv
model1,146,features,58823,0.0,conv
model1,146,features,68004,0.0,conv
model1,146,features,46360,0.0,conv
model1,146,features,49239,0.0,conv
model1,146,features,5354,0.0,conv
model1,146,features,88500,0.0,conv
model1,146,features,46624,0.0,conv
model1,146,features,11624,0.0,conv
model1,146,features,27661,0.0,conv
model1,146,features,56147,0.0,conv
model1,146,features,69798,0.0,conv
model1,146,features.0,766675,0.0,conv
model1,146,features.0,404560,0.0,conv
model1,146,features.0,782885,0.0,conv
model1,146,features.0,974763,0.010467265,conv
model1,146,features.0,835164,0.0,conv
model1,146,features.0,588575,0.0,conv
model1,146,features.0,197434,0.0,conv
model1,146,features.0,251282,0.0,conv
model1,146,features.0,1523414,0.0,conv
model1,146,features.0,490472,0.0,conv
model1,146,features.0,1519840,0.020546187,conv
model1,146,features.0,1320685,0.0,conv
model1,146,features.0,374491,0.0,conv
model1,146,features.0,658611,0.0,conv
model1,146,features.0,1392528,0.0,conv
model1,146,features.1,20686,0.0,conv
model1,146,features.1,294914,0.0,conv
model1,146,features.1,824536,0.20429732,conv
model1,146,features.1,142615,0.069098786,conv
model1,146,features.1,1145320,0.0,conv
model1,146,features.1,459000,0.0,conv
model1,146,features.1,1396328,0.0,conv
model1,146,features.1,1047603,0.0,conv
model1,146,features.1,1291950,0.0,conv
model1,146,features.1,171148,0.0,conv
model1,146,features.1,1342039,0.0,conv
model1,146,features.1,1014056,0.0,conv
model1,146,features.1,372875,0.0,conv
model1,146,features.1,1032821,0.0,conv
model1,146,features.1,1457056,0.0,conv
model1,146,features.2,373167,0.0013446829,conv
model1,146,features.2,335390,0.038842686,conv
model1,146,features.2,391560,0.0,conv
model1,146,features.2,273058,0.0,conv
model1,146,features.2,54046,0.0,conv
model1,146,features.2,38378,0.0,conv
model1,146,features.2,235859,0.0,conv
model1,146,features.2,311519,0.0,conv
model1,146,features.2,33367,0.058495034,conv
model1,146,features.2,114725,0.0,conv
model1,146,features.2,211170,0.11205289,conv
model1,146,features.2,39097,0.0,conv
model1,146,features.2,90975,0.0,conv
model1,146,features.2,3965,0.0,conv
model1,146,features.2,266439,0.0,conv
model1,146,features.3,310319,0.0,conv
model1,146,features.3,8716,0.0,conv
model1,146,features.3,378915,0.06640217,conv
model1,146,features.3,219527,0.09986311,conv
model1,146,features.3,191959,0.0,conv
model1,146,features.3,118495,0.0,conv
model1,146,features.3,270612,0.0,conv
model1,146,features.3,378510,0.0,conv
model1,146,features.3,125379,0.0,conv
model1,146,features.3,394316,0.0,conv
model1,146,features.3,335877,0.008729456,conv
model1,146,features.3,365601,0.11365979,conv
model1,146,features.3,26961,0.0,conv
model1,146,features.3,176242,0.0,conv
model1,146,features.3,380447,0.11783761,conv
model1,146,features.4,345549,0.0,conv
model1,146,features.4,757062,0.0,conv
model1,146,features.4,504502,0.0,conv
model1,146,features.4,175878,0.0,conv
model1,146,features.4,677678,0.0,conv
model1,146,features.4,499807,0.0,conv
model1,146,features.4,777879,0.05132764,conv
model1,146,features.4,303255,0.039153494,conv
model1,146,features.4,329857,0.1379403,conv
model1,146,features.4,602683,0.0,conv
model1,146,features.4,167027,0.24806061,conv
model1,146,features.4,339063,0.0,conv
model1,146,features.4,89758,0.0,conv
model1,146,features.4,697376,0.0,conv
model1,146,features.4,417561,0.0,conv
model1,146,features.5,329403,0.1010092,conv
model1,146,features.5,26143,0.0,conv
model1,146,features.5,257799,0.058822975,conv
model1,146,features.5,437488,0.0,conv
model1,146,features.5,146762,0.0,conv
model1,146,features.5,455728,0.0,conv
model1,146,features.5,127131,0.17888153,conv
model1,146,features.5,398558,0.020821253,conv
model1,146,features.5,747224,0.0,conv
model1,146,features.5,320030,0.0,conv
model1,146,features.5,539270,0.0,conv
model1,146,features.5,244506,0.0,conv
model1,146,features.5,508135,0.0,conv
model1,146,features.5,759539,0.0,conv
model1,146,features.5,33409,0.0,conv
model1,146,features.6,96505,0.0,conv
model1,146,features.6,163238,0.0,conv
model1,146,features.6,105836,0.0,conv
model1,146,features.6,8948,0.0,conv
model1,146,features.6,161946,0.13437946,conv
model1,146,features.6,144952,0.0,conv
model1,146,features.6,163184,0.019851806,conv
model1,146,features.6,198248,0.0,conv
model1,146,features.6,114608,0.0,conv
model1,146,features.6,78467,0.09592853,conv
model1,146,features.6,136693,0.0,conv
model1,146,features.6,114752,0.0,conv
model1,146,features.6,19897,0.0,conv
model1,146,features.6,176310,0.0,conv
model1,146,features.6,83634,0.16944024,conv
model1,146,features.7,6237,0.0,conv
model1,146,features.7,37327,0.0,conv
model1,146,features.7,109638,0.0,conv
model1,146,features.7,16295,0.0,conv
model1,146,features.7,6478,0.0,conv
model1,146,features.7,42373,0.029809678,conv
model1,146,features.7,7251,0.0,conv
model1,146,features.7,78317,0.0,conv
model1,146,features.7,4461,0.0,conv
model1,146,features.7,149517,0.0,conv
model1,146,features.7,156167,0.0,conv
model1,146,features.7,142270,0.02430439,conv
model1,146,features.7,164716,0.034432773,conv
model1,146,features.7,84584,0.16612518,conv
model1,146,features.7,34503,0.0,conv
model1,146,features.8,369306,0.0,conv
model1,146,features.8,46571,0.0,conv
model1,146,features.8,13001,0.0,conv
model1,146,features.8,106232,0.0,conv
model1,146,features.8,287355,0.0,conv
model1,146,features.8,337690,0.0,conv
model1,146,features.8,363623,0.0,conv
model1,146,features.8,102369,0.0,conv
model1,146,features.8,390261,0.0,conv
model1,146,features.8,307993,0.0,conv
model1,146,features.8,141376,0.0,conv
model1,146,features.8,276274,0.042623814,conv
model1,146,features.8,124754,0.0,conv
model1,146,features.8,266978,0.0,conv
model1,146,features.8,132137,0.0,conv
model1,146,features.9,175371,0.0,conv
model1,146,features.9,249174,0.03931651,conv
model1,146,features.9,228792,0.0,conv
model1,146,features.9,231573,0.0,conv
model1,146,features.9,129895,0.0,conv
model1,146,features.9,8159,0.0,conv
model1,146,features.9,108745,0.0,conv
model1,146,features.9,223182,0.0,conv
model1,146,features.9,12996,0.0,conv
model1,146,features.9,308140,0.0,conv
model1,146,features.9,304968,0.0,conv
model1,146,features.9,265642,0.0,conv
model1,146,features.9,176541,0.0,conv
model1,146,features.9,163667,0.0,conv
model1,146,features.9,141434,0.0,conv
model1,146,features.10,63301,0.0,conv
model1,146,features.10,94104,0.0,conv
model1,146,features.10,96921,0.0,conv
model1,146,features.10,5179,0.0,conv
model1,146,features.10,24263,0.0,conv
model1,146,features.10,94054,0.0,conv
model1,146,features.10,8506,0.0,conv
model1,146,features.10,402,0.0,conv
model1,146,features.10,71339,0.0,conv
model1,146,features.10,82785,0.0,conv
model1,146,features.10,18982,0.0,conv
model1,146,features.10,89918,0.0,conv
model1,146,features.10,84824,0.0,conv
model1,146,features.10,14305,0.0,conv
model1,146,features.10,25907,0.0,conv
model1,146,features.11,73863,0.0,conv
model1,146,features.11,15403,0.0,conv
model1,146,features.11,45497,0.0,conv
model1,146,features.11,17984,0.0,conv
model1,146,features.11,6000,0.0,conv
model1,146,features.11,44591,0.0,conv
model1,146,features.11,88502,0.0,conv
model1,146,features.11,3291,0.0,conv
model1,146,features.11,36613,0.0,conv
model1,146,features.11,84959,0.0,conv
model1,146,features.11,47233,0.0,conv
model1,146,features.11,62118,0.041264385,conv
model1,146,features.11,13408,0.0,conv
model1,146,features.11,71055,0.0,conv
model1,146,features.11,57764,0.0,conv
model1,146,classifier,0,0.44750968,conv
model1,146,classifier.0,30886,0.0,conv
model1,146,classifier.0,31582,0.0,conv
model1,146,classifier.0,11084,0.0,conv
model1,146,classifier.0,32888,0.0,conv
model1,146,classifier.0,23932,0.0,conv
model1,146,classifier.0,10635,0.0,conv
model1,146,classifier.0,33593,0.0,conv
model1,146,classifier.0,20217,0.0,conv
model1,146,classifier.0,99377,0.0,conv
model1,146,classifier.0,62864,0.0,conv
model1,146,classifier.0,76228,0.0,conv
model1,146,classifier.0,98389,0.0,conv
model1,146,classifier.0,53592,0.0,conv
model1,146,classifier.0,81805,0.0,conv
model1,146,classifier.0,37187,0.0,conv
model1,146,classifier.1,249,0.0,linear
model1,146,classifier.1,139,0.0,linear
model1,146,classifier.1,492,0.0,linear
model1,146,classifier.1,313,0.0,linear
model1,146,classifier.1,357,0.0,linear
model1,146,classifier.1,205,0.0,linear
model1,146,classifier.1,96,0.25367963,linear
model1,146,classifier.1,506,0.0,linear
model1,146,classifier.1,333,0.0,linear
model1,146,classifier.1,89,0.0,linear
model1,146,classifier.1,347,0.0,linear
model1,146,classifier.1,7,0.0,linear
model1,146,classifier.1,397,0.0,linear
model1,146,classifier.1,438,0.6882046,linear
model1,146,classifier.1,191,0.0,linear
model1,146,classifier.2,323,0.0,conv
model1,146,classifier.2,94,0.0,conv
model1,146,classifier.2,304,0.0,conv
model1,146,classifier.2,491,0.43764657,conv
model1,146,classifier.2,60,0.0,conv
model1,146,classifier.2,184,1.5740494,conv
model1,146,classifier.2,55,0.0,conv
model1,146,classifier.2,429,0.0,conv
model1,146,classifier.2,17,0.0,conv
model1,146,classifier.2,161,0.0,conv
model1,146,classifier.2,501,0.0,conv
model1,146,classifier.2,203,0.0,conv
model1,146,classifier.2,164,0.0,conv
model1,146,classifier.2,292,0.0,conv
model1,146,classifier.2,288,0.0,conv
model1,146,classifier.3,402,0.0,conv
model1,146,classifier.3,167,0.0,conv
model1,146,classifier.3,495,0.0,conv
model1,146,classifier.3,258,0.0,conv
model1,146,classifier.3,181,0.0,conv
model1,146,classifier.3,180,0.0,conv
model1,146,classifier.3,276,0.0,conv
model1,146,classifier.3,196,0.0,conv
model1,146,classifier.3,454,0.0,conv
model1,146,classifier.3,90,0.0,conv
model1,146,classifier.3,434,0.0,conv
model1,146,classifier.3,328,0.0,conv
model1,146,classifier.3,226,0.0,conv
model1,146,classifier.3,17,0.0,conv
model1,146,classifier.3,406,0.0,conv
model1,146,classifier.4,0,-0.21073774,linear
model1,146,classifier.5,0,0.44750968,conv
