model,data_idx,layer,neuron_idx,activation,layer_type
model1,185,,0,0.9999893,0-other
model1,185,features,82004,0.0,1-other
model1,185,features,48297,0.032452386,1-other
model1,185,features,90594,0.0,1-other
model1,185,features,12748,0.0,1-other
model1,185,features,17223,0.0,1-other
model1,185,features.0,379365,0.0,2-conv
model1,185,features.0,369913,0.0,2-conv
model1,185,features.0,276984,0.0,2-conv
model1,185,features.0,1306923,0.0,2-conv
model1,185,features.0,1205212,0.0,2-conv
model1,185,features.1,247387,0.0,3-relu
model1,185,features.1,278423,0.0,3-relu
model1,185,features.1,608418,0.0,3-relu
model1,185,features.1,505710,0.0,3-relu
model1,185,features.1,1023741,0.0,3-relu
model1,185,features.2,159509,0.0,4-maxpool
model1,185,features.2,327983,0.0,4-maxpool
model1,185,features.2,204324,0.0,4-maxpool
model1,185,features.2,397989,0.0,4-maxpool
model1,185,features.2,104778,0.0,4-maxpool
model1,185,features.3,386785,0.053407043,5-other
model1,185,features.3,334658,0.0,5-other
model1,185,features.3,133133,0.0,5-other
model1,185,features.3,372587,0.009734105,5-other
model1,185,features.3,91732,0.0,5-other
model1,185,features.4,244165,0.0,6-conv
model1,185,features.4,642433,0.0,6-conv
model1,185,features.4,713522,0.0,6-conv
model1,185,features.4,437874,0.0,6-conv
model1,185,features.4,770355,0.0,6-conv
model1,185,features.5,629992,0.0,7-relu
model1,185,features.5,614346,0.0,7-relu
model1,185,features.5,408846,0.0,7-relu
model1,185,features.5,565857,0.01744499,7-relu
model1,185,features.5,189948,0.0,7-relu
model1,185,features.6,166999,0.0,8-maxpool
model1,185,features.6,65536,0.06761883,8-maxpool
model1,185,features.6,200028,0.0,8-maxpool
model1,185,features.6,114316,0.0,8-maxpool
model1,185,features.6,153765,0.02050774,8-maxpool
model1,185,features.7,160391,0.010263693,9-other
model1,185,features.7,51240,0.0,9-other
model1,185,features.7,27286,0.08735344,9-other
model1,185,features.7,96823,0.0,9-other
model1,185,features.7,39108,0.0,9-other
model1,185,features.8,183149,0.0,10-conv
model1,185,features.8,171957,0.0,10-conv
model1,185,features.8,340363,0.0,10-conv
model1,185,features.8,152825,0.0,10-conv
model1,185,features.8,41951,0.0,10-conv
model1,185,features.9,315374,0.0,11-relu
model1,185,features.9,198757,0.0,11-relu
model1,185,features.9,59678,0.0,11-relu
model1,185,features.9,302640,0.0,11-relu
model1,185,features.9,76412,0.0,11-relu
model1,185,features.10,6430,0.0,12-maxpool
model1,185,features.10,12151,0.0,12-maxpool
model1,185,features.10,63999,0.0,12-maxpool
model1,185,features.10,53763,0.0,12-maxpool
model1,185,features.10,93042,0.0,12-maxpool
model1,185,features.11,75636,0.0,13-other
model1,185,features.11,94781,0.0,13-other
model1,185,features.11,9027,0.0,13-other
model1,185,features.11,22737,0.0,13-other
model1,185,features.11,56912,0.0,13-other
model1,185,classifier,0,0.9999893,14-other
model1,185,classifier.0,27000,0.0,15-flatten
model1,185,classifier.0,86187,0.0,15-flatten
model1,185,classifier.0,60142,0.0,15-flatten
model1,185,classifier.0,20323,0.0,15-flatten
model1,185,classifier.0,74860,0.0,15-flatten
model1,185,classifier.1,149,0.0,16-linear
model1,185,classifier.1,467,0.0,16-linear
model1,185,classifier.1,26,0.0,16-linear
model1,185,classifier.1,244,0.0,16-linear
model1,185,classifier.1,438,0.0,16-linear
model1,185,classifier.2,495,0.0,17-relu
model1,185,classifier.2,243,0.0,17-relu
model1,185,classifier.2,5,0.0,17-relu
model1,185,classifier.2,428,0.0,17-relu
model1,185,classifier.2,142,0.0,17-relu
model1,185,classifier.3,138,0.0,18-dropout
model1,185,classifier.3,209,0.0,18-dropout
model1,185,classifier.3,214,0.0,18-dropout
model1,185,classifier.3,181,0.0,18-dropout
model1,185,classifier.3,240,0.42494485,18-dropout
model1,185,classifier.4,0,11.440105,19-linear
model1,185,classifier.5,0,0.9999893,20-sigmoid
