layer_name,data_index,count_Model_1,count_Model_2,total_neurons_Model_1,total_neurons_Model_2,percentage_active_Model_1,percentage_active_Model_2,mean_Model_1,mean_Model_2,sum_Model_1,sum_Model_2,max_Model_1,max_Model_2,min_Model_1,min_Model_2,variance_Model_1,variance_Model_2,image_index
features 3-relu,0,272466,360131,1605632,1605632,16.969392737563776,22.429236587213012,0.055464085191488266,0.046769194304943085,15112.078125,16843.037109375,0.678021252155304,0.6131424307823181,2.9802322387695312e-08,5.997717380523682e-07,0.0021320879459381104,0.001333421329036355,0
features 7-relu,0,98740,121385,802816,802816,12.299206792091837,15.119902941645408,0.07635871320962906,0.03262677416205406,7539.6591796875,3960.401123046875,0.5930228233337402,0.5039425492286682,6.204936653375626e-08,1.257285475730896e-07,0.008325297385454178,0.001277928939089179,0
features 11-relu,0,4452,21705,401408,401408,1.1090959821428572,5.4072165975765305,0.06499546021223068,0.030480138957500458,289.3597717285156,661.5714111328125,0.9630241990089417,0.506858229637146,2.2603198885917664e-06,3.902241587638855e-07,0.005310268606990576,0.0009638612973503768,0
classifier 17-relu,0,96,61,512,512,18.75,11.9140625,1.5802228450775146,0.7979094386100769,151.70138549804688,48.67247772216797,5.237227439880371,2.2013742923736572,0.10009633004665375,0.014968231320381165,1.0460431575775146,0.34190529584884644,0
classifier 20-sigmoid,0,1,1,1,1,100.0,100.0,0.0001846922532422468,0.20503771305084229,0.0001846922532422468,0.20503771305084229,0.0001846922532422468,0.20503771305084229,0.0001846922532422468,0.20503771305084229,,,0
features 3-relu,1,182957,239465,1605632,1605632,11.394703144929846,14.91406499123087,0.06874234229326248,0.05604451149702072,12576.892578125,13420.69921875,0.7894443273544312,0.7400365471839905,4.470348358154297e-08,2.551823854446411e-07,0.004480252508074045,0.0023272987455129623,1
features 7-relu,1,84065,166673,802816,802816,10.47126614317602,20.761046117665817,0.0781695693731308,0.026057003065943718,6571.3251953125,4342.9990234375,0.7883400917053223,0.4979027211666107,1.764274202287197e-07,6.639311322942376e-08,0.013952404260635376,0.0011210390366613865,1
features 11-relu,1,5590,13963,401408,401408,1.3925980548469388,3.4785056600765305,0.05112812668085098,0.03401893749833107,285.8062438964844,475.00640869140625,1.1414378881454468,0.6439359784126282,3.334134817123413e-07,2.942979335784912e-06,0.007797134108841419,0.0017376363975927234,1
classifier 17-relu,1,81,50,512,512,15.8203125,9.765625,0.9501804113388062,0.6433546543121338,76.96461486816406,32.16773223876953,4.192938804626465,2.146066427230835,0.02293764054775238,0.032521434128284454,0.5819522738456726,0.2555220127105713,1
classifier 20-sigmoid,1,1,1,1,1,100.0,100.0,0.022529233247041702,0.646336019039154,0.022529233247041702,0.646336019039154,0.022529233247041702,0.646336019039154,0.022529233247041702,0.646336019039154,,,1
features 3-relu,2,36832,55275,1605632,1605632,2.293925382653061,3.442569654815051,0.08894143253564835,0.049700360745191574,3275.890625,2747.1875,1.044342279434204,0.9847359657287598,4.872679710388184e-06,1.1622905731201172e-06,0.023353809490799904,0.0057669105008244514,2
features 7-relu,2,105765,183888,802816,802816,13.17425163424745,22.90537308673469,0.024733897298574448,0.019731983542442322,2615.980712890625,3628.47509765625,0.5090066194534302,0.5305611491203308,3.5855919122695923e-07,8.475035429000854e-08,0.000989700434729457,0.0009455839754082263,2
features 11-relu,2,3659,19456,401408,401408,0.9115413743622449,4.846938775510204,0.03712620958685875,0.03347894549369812,135.8448028564453,651.3663330078125,0.4599951505661011,0.38379403948783875,2.294778823852539e-06,4.801899194717407e-06,0.0024760677479207516,0.001016979687847197,2
classifier 17-relu,2,69,60,512,512,13.4765625,11.71875,0.40326154232025146,1.2096930742263794,27.82504653930664,72.58158111572266,1.324331521987915,3.489854574203491,0.008139856159687042,0.02779126539826393,0.09768208861351013,0.6404111385345459,2
classifier 20-sigmoid,2,1,1,1,1,100.0,100.0,0.4212057888507843,0.8984297513961792,0.4212057888507843,0.8984297513961792,0.4212057888507843,0.8984297513961792,0.4212057888507843,0.8984297513961792,,,2
features 3-relu,4,144440,118435,1605632,1605632,8.995834661989797,7.376223194355867,0.10128962993621826,0.0980520024895668,14630.2734375,11612.7890625,0.7145761251449585,0.571982204914093,1.646578311920166e-06,1.1473894119262695e-06,0.007029505912214518,0.007278686389327049,4
features 7-relu,4,78859,196996,802816,802816,9.822798748405612,24.538125797193878,0.025932004675269127,0.043054454028606415,2044.971923828125,8481.5556640625,0.5232796669006348,0.48903322219848633,2.3283064365386963e-08,1.5573095879517496e-07,0.0012062034802511334,0.00339508056640625,4
