layer_name,data_index,count_Model_1,count_Model_2,total_neurons_Model_1,total_neurons_Model_2,percentage_active_Model_1,percentage_active_Model_2,mean_Model_1,mean_Model_2,sum_Model_1,sum_Model_2,max_Model_1,max_Model_2,min_Model_1,min_Model_2,image_index
features 3-relu,100,100227,110856,1605632,1605632,6.242214903539541,6.904197225765306,0.07693640142679214,0.06382516026496887,7711.10498046875,7075.40234375,1.0193631649017334,0.9437148571014404,1.4865804587316234e-06,3.919106461580668e-07,100
features 7-relu,100,97621,168206,802816,802816,12.159822425063775,20.95199896364796,0.04150871932506561,0.023536834865808487,4052.12255859375,3959.036865234375,0.7786867618560791,0.7043156027793884,9.367925457581805e-08,4.902585004629145e-08,100
features 11-relu,100,4551,20787,401408,401408,1.1337591677295917,5.178521603954081,0.0652942806482315,0.043156810104846954,297.1542663574219,897.1006469726562,1.0911495685577393,0.6002769470214844,2.7097341444459744e-05,5.958529527561041e-06,100
classifier 17-relu,100,49,71,512,512,9.5703125,13.8671875,0.9674875140190125,1.2435169219970703,47.40688705444336,88.28970336914062,3.7169041633605957,4.27018928527832,0.01440166961401701,0.049980051815509796,100
classifier 20-sigmoid,100,1,1,1,1,100.0,100.0,0.729624330997467,0.900111973285675,0.729624330997467,0.900111973285675,0.729624330997467,0.900111973285675,0.729624330997467,0.900111973285675,100
features 3-relu,101,218946,248225,1605632,1605632,13.636125837053573,15.459644551179846,0.08424203097820282,0.06730803102254868,18444.455078125,16707.53515625,0.9034760594367981,0.6959688663482666,1.0471052291904925e-06,3.6166358086120454e-07,101
features 7-relu,101,85727,159765,802816,802816,10.67828742825255,19.900574976084183,0.09463184326887131,0.04433417320251465,8112.50390625,7083.04931640625,1.2191121578216553,0.7921063899993896,5.798485744890058e-07,9.51067846699516e-08,101
features 11-relu,101,6032,10318,401408,401408,1.5027104591836735,2.5704520089285716,0.10033287107944489,0.07000862061977386,605.2078857421875,722.3489379882812,2.108356475830078,0.8844693899154663,1.5017749319667928e-05,1.1211813216505107e-05,101
classifier 17-relu,101,59,79,512,512,11.5234375,15.4296875,2.0435824394226074,1.8675612211227417,120.57135772705078,147.53733825683594,6.027673721313477,5.5982747077941895,0.12263059616088867,0.0007149670273065567,101
classifier 20-sigmoid,101,1,1,1,1,100.0,100.0,0.9796077013015747,0.9880186319351196,0.9796077013015747,0.9880186319351196,0.9796077013015747,0.9880186319351196,0.9796077013015747,0.9880186319351196,101
features 3-relu,102,100963,133453,1605632,1605632,6.288053551498725,8.311555823501275,0.07908393442630768,0.0620805099606514,7984.55126953125,8284.830078125,1.0024452209472656,0.6658852696418762,1.744119003888045e-06,8.287349118063503e-08,102
features 7-relu,102,109995,185482,802816,802816,13.701146962691327,23.103924186862244,0.04829210042953491,0.01972680166363716,5311.8896484375,3658.966552734375,0.7967172265052795,0.5172390937805176,1.298688889761479e-08,3.837482509538859e-08,102
features 11-relu,102,3363,15345,401408,401408,0.8378009406887755,3.822793765943878,0.060009609907865524,0.03433554247021675,201.81231689453125,526.87890625,1.1630491018295288,0.549088180065155,9.76541377895046e-06,8.17026304389401e-08,102
classifier 17-relu,102,65,72,512,512,12.6953125,14.0625,0.6021005511283875,1.1821863651275635,39.13653564453125,85.11741638183594,1.9886738061904907,3.1231000423431396,0.0027772411704063416,0.04245397076010704,102
classifier 20-sigmoid,102,1,1,1,1,100.0,100.0,0.6645654439926147,0.9524108171463013,0.6645654439926147,0.9524108171463013,0.6645654439926147,0.9524108171463013,0.6645654439926147,0.9524108171463013,102
features 3-relu,103,95625,109061,1605632,1605632,5.955598792251275,6.792403240593112,0.11113893240690231,0.07052041590213776,10627.66015625,7691.02734375,1.053969144821167,1.0045843124389648,2.3806043714102998e-07,1.486981062726045e-07,103
features 7-relu,103,104676,154122,802816,802816,13.038604113520408,19.197674186862244,0.05676720663905144,0.02887641079723835,5942.1640625,4450.490234375,1.2508015632629395,0.9538427591323853,5.462038075165765e-07,1.6773941524661495e-07,103
features 11-relu,103,4192,24571,401408,401408,1.0443239795918369,6.121203364158164,0.10541073232889175,0.047052111476659775,441.88177490234375,1156.117431640625,2.9490232467651367,1.028465986251831,5.884406346012838e-05,3.71128862752812e-06,103
