input_id,round_id,fc1_min_abs_diff,fc1_max_abs_diff,fc1_mean_abs_diff,fc2_min_abs_diff,fc2_max_abs_diff,fc2_mean_abs_diff,fc3_min_abs_diff,fc3_max_abs_diff,fc3_mean_abs_diff,real_input,pred_input
1,1,0.005055248737335205,1.4506022930145264,0.4854440689086914,0.014914274215698242,0.6723261475563049,0.2442035675048828,5.602836608886719e-05,0.0015028715133666992,0.0008003314142115414,"[4.048707008361816, -1.787717580795288, -3.384511947631836]","[-0.1290166676044464, 2.9448039531707764, -1.2992573976516724, -1.3002182245254517]"
1,2,0.006367206573486328,0.49177420139312744,0.14922279119491577,0.001489102840423584,0.22197219729423523,0.07650062441825867,0.002216935157775879,0.004892587661743164,0.003940701484680176,"[4.048707008361816, -1.787717580795288, -3.384511947631836]","[-1.9850335121154785, 0.9913218021392822, -1.5071682929992676, -0.99349045753479]"
1,3,0.0050705671310424805,0.31308889389038086,0.11414830386638641,0.0022077560424804688,0.15927979350090027,0.053915202617645264,0.007853150367736816,0.015165328979492188,0.01270139217376709,"[4.048707008361816, -1.787717580795288, -3.384511947631836]","[-1.6591777801513672, 1.3684537410736084, -1.1436951160430908, -1.3282039165496826]"
2,1,0.014612048864364624,0.9137130975723267,0.3297237753868103,0.002144038677215576,0.616331160068512,0.18073922395706177,0.0011997222900390625,0.0025440454483032227,0.001980821369215846,"[3.8710105419158936, -1.7111036777496338, -3.258610248565674]","[-0.8758514523506165, 1.7935748100280762, -1.388427734375, -1.3101309537887573]"
2,2,0.0008075535297393799,1.3972370624542236,0.47707125544548035,0.01833629608154297,0.7040655612945557,0.2439473569393158,0.002719879150390625,0.004044055938720703,0.0035646359901875257,"[3.8710105419158936, -1.7111036777496338, -3.258610248565674]","[-1.3825385570526123, 1.2606172561645508, -1.5152959823608398, -1.1424026489257812]"
2,3,0.01006019115447998,1.2130825519561768,0.40411534905433655,0.020409584045410156,0.6302011609077454,0.2081981897354126,0.0006618499755859375,0.0011608600616455078,0.0009734630584716797,"[3.8710105419158936, -1.7111036777496338, -3.258610248565674]","[-1.152528166770935, 1.4965139627456665, -1.6070266962051392, -1.0946266651153564]"
3,1,0.004156842827796936,0.574216365814209,0.25440162420272827,0.00396236777305603,0.3517625331878662,0.1112380251288414,0.005561947822570801,0.0069425106048583984,0.0060683488845825195,"[-1.7440849542617798, 1.3652037382125854, 0.6369381546974182]","[0.2709517776966095, -0.33711838722229004, 0.7221026420593262, 0.10945983976125717]"
3,2,0.015706002712249756,1.1482951641082764,0.4048789441585541,0.00517195463180542,0.6821162104606628,0.18804343044757843,0.01101541519165039,0.014839887619018555,0.012703736312687397,"[-1.7440849542617798, 1.3652037382125854, 0.6369381546974182]","[-0.4567285478115082, -0.5550819635391235, 0.3167795240879059, 0.6231902837753296]"
3,3,0.023378342390060425,1.351027488708496,0.4748048186302185,0.004905760288238525,0.8151392936706543,0.23108339309692383,0.0014954805374145508,0.0015621185302734375,0.0015294948825612664,"[-1.7440849542617798, 1.3652037382125854, 0.6369381546974182]","[2.4958510398864746, 1.0573922395706177, 1.4290704727172852, -0.9079991579055786]"
4,1,0.000676274299621582,0.708594560623169,0.22240810096263885,0.00034987926483154297,0.23306603729724884,0.10482767969369888,0.0012154579162597656,0.0018763542175292969,0.0016472339630126953,"[3.3881425857543945, -1.3977011442184448, -2.9376962184906006]","[-0.5381333827972412, 1.4722713232040405, -0.9784324765205383, -1.641074299812317]"
4,2,0.00654292106628418,0.5951381921768188,0.1818138062953949,0.00026214122772216797,0.19638121128082275,0.0853467807173729,0.0007543563842773438,0.0011146068572998047,0.000982483266852796,"[3.3881425857543945, -1.3977011442184448, -2.9376962184906006]","[-0.6432178020477295, 1.3098506927490234, -1.0495034456253052, -1.6058495044708252]"
4,3,0.0016478896141052246,0.3256692886352539,0.10107538104057312,0.0035800188779830933,0.12858587503433228,0.04846089333295822,0.0008351802825927734,0.0011153221130371094,0.0009913047542795539,"[3.3881425857543945, -1.3977011442184448, -2.9376962184906006]","[-1.5629926919937134, 0.5283104181289673, -1.165483832359314, -1.1812280416488647]"
5,1,0.024078965187072754,0.8482668399810791,0.26334264874458313,0.02525019645690918,0.3400639295578003,0.12756313383579254,0.0016446113586425781,0.002717137336730957,0.002324223518371582,"[3.5927324295043945, -1.4697871208190918, -3.1379923820495605]","[-0.8541249632835388, 0.9743775129318237, -1.4808013439178467, -1.6234209537506104]"
5,2,0.0005676746368408203,0.200630784034729,0.08432139456272125,0.0039937496185302734,0.1377670168876648,0.0412803515791893,0.0019526481628417969,0.0027811527252197266,0.0024489164352416992,"[3.5927324295043945, -1.4697871208190918, -3.1379923820495605]","[-1.4907877445220947, 0.4138149321079254, -1.58743417263031, -1.3087409734725952]"
5,3,0.0016826391220092773,1.4116994142532349,0.43841683864593506,0.00441974401473999,0.4937286674976349,0.20258036255836487,0.004265308380126953,0.007760167121887207,0.006419936660677195,"[3.5927324295043945, -1.4697871208190918, -3.1379923820495605]","[-0.3700525164604187, 1.6304166316986084, -0.8607707619667053, -2.1229588985443115]"
6,1,0.06394782662391663,1.6392492055892944,0.6164718270301819,0.006584644317626953,0.8084437251091003,0.2775295078754425,0.002265453338623047,0.002896547317504883,0.0025984446983784437,"[-3.3459506034851074, 1.418943166732788, 2.343698024749756]","[2.3365728855133057, -0.4665777385234833, 2.222222089767456, -0.6198602914810181]"
6,2,0.004333853721618652,0.537636399269104,0.1925165355205536,0.008569955825805664,0.24065876007080078,0.08828074485063553,0.005942106246948242,0.008254528045654297,0.007025559898465872,"[-3.3459506034851074, 1.418943166732788, 2.343698024749756]","[0.5123856663703918, -1.1755266189575195, 1.4071221351623535, 0.4602223336696625]"
6,3,0.014998823404312134,0.702442467212677,0.26760315895080566,0.016933679580688477,0.3407965302467346,0.11638784408569336,0.004046201705932617,0.005253195762634277,0.004639744758605957,"[-3.3459506034851074, 1.418943166732788, 2.343698024749756]","[1.3468818664550781, -0.988068699836731, 1.396679162979126, 0.2765473425388336]"
7,1,0.004844754934310913,0.25782132148742676,0.0994938462972641,0.0044325292110443115,0.16261723637580872,0.04697310924530029,0.0005363225936889648,0.0014514923095703125,0.0008927186136133969,"[-1.457804799079895, 1.0894697904586792, 0.6587275266647339]","[0.38779422640800476, 0.12388917058706284, 0.5559095144271851, 0.40513306856155396]"
7,2,0.0034805089235305786,0.40089449286460876,0.1762789487838745,0.002100706100463867,0.2596903145313263,0.08404798805713654,0.0008452534675598145,0.0011587142944335938,0.0009905298938974738,"[-1.457804799079895, 1.0894697904586792, 0.6587275266647339]","[0.18239322304725647, -0.0008292135898955166, 0.7208167910575867, 0.2952582538127899]"
7,3,0.005685865879058838,0.5768895149230957,0.21214064955711365,0.0037641525268554688,0.3666847050189972,0.10151392221450806,0.0008304715156555176,0.0011392831802368164,0.0009908875217661262,"[-1.457804799079895, 1.0894697904586792, 0.6587275266647339]","[1.3117297887802124, 0.715817928314209, 0.9499427080154419, -0.11852851510047913]"
8,1,0.0037823915481567383,1.6785014867782593,0.5109429955482483,0.001469731330871582,0.6781028509140015,0.2703080475330353,0.001951456069946289,0.0027594566345214844,0.002366701839491725,"[3.1669795513153076, -1.2585821151733398, -2.8376195430755615]","[-2.541191816329956, 0.14536724984645844, -1.1784859895706177, -0.3302299678325653]"
8,2,0.002714872360229492,0.296067476272583,0.10131435841321945,0.000311434268951416,0.10259413719177246,0.04142317548394203,0.0007417201995849609,0.0011081695556640625,0.0009835163364186883,"[3.1669795513153076, -1.2585821151733398, -2.8376195430755615]","[-0.4838373064994812, 1.288177728652954, -1.072371482849121, -1.5142183303833008]"
8,3,0.005794525146484375,0.5757962465286255,0.17881405353546143,0.00981760025024414,0.19465875625610352,0.08209679275751114,0.003091573715209961,0.004412651062011719,0.003896951675415039,"[3.1669795513153076, -1.2585821151733398, -2.8376195430755615]","[-1.309448480606079, 0.41609105467796326, -1.3450825214385986, -1.1059060096740723]"
9,1,0.000795900821685791,0.13596618175506592,0.05194521322846413,0.0007024109363555908,0.06471708416938782,0.025494424626231194,0.0045239925384521484,0.005674600601196289,0.004946509841829538,"[3.5482888221740723, -1.5058350563049316, -3.0469329357147217]","[-1.0664924383163452, 1.1329830884933472, -1.1887208223342896, -1.4190220832824707]"
9,2,0.005487680435180664,0.9488921165466309,0.2868776321411133,0.019406795501708984,0.3309209942817688,0.13661231100559235,0.0002620220184326172,0.0012362003326416016,0.0008912484045140445,"[3.5482888221740723, -1.5058350563049316, -3.0469329357147217]","[-1.9418504238128662, 0.3812597393989563, -1.4023395776748657, -0.9269282221794128]"
9,3,0.0031843185424804688,0.1892101764678955,0.06410177052021027,0.00011301040649414062,0.07095474004745483,0.028005409985780716,0.0016596317291259766,0.002441883087158203,0.002148866653442383,"[3.5482888221740723, -1.5058350563049316, -3.0469329357147217]","[-0.8118579983711243, 1.3527363538742065, -1.2022066116333008, -1.4864023923873901]"
10,1,0.0014891624450683594,1.4864689111709595,0.4743342995643616,0.004115283489227295,0.5029177069664001,0.21519872546195984,0.0068585872650146484,0.0131683349609375,0.01103170681744814,"[4.155649662017822, -1.8563095331192017, -3.446871757507324]","[-2.1624410152435303, 0.753202497959137, -1.947701096534729, -0.7965985536575317]"
10,2,0.01116955280303955,1.0458165407180786,0.32413530349731445,0.019641637802124023,0.3756963610649109,0.16178090870380402,0.0029914379119873047,0.005815029144287109,0.004860798362642527,"[4.155649662017822, -1.8563095331192017, -3.446871757507324]","[-1.8221673965454102, 1.3028119802474976, -1.4325945377349854, -1.1048179864883423]"
10,3,0.0017393827438354492,1.130733609199524,0.36257755756378174,0.0037442445755004883,0.4159931540489197,0.16752927005290985,0.0009558200836181641,0.0023107528686523438,0.0018249353161081672,"[4.155649662017822, -1.8563095331192017, -3.446871757507324]","[-1.8117749691009521, 1.0760767459869385, -1.7002477645874023, -1.087510585784912]"
11,1,0.00285261869430542,0.8661273717880249,0.31602612137794495,0.001071929931640625,0.48865431547164917,0.15180060267448425,0.012948274612426758,0.017382025718688965,0.015035589225590229,"[-2.733133316040039, 1.117842197418213, 2.002423048019409]","[1.1809993982315063, -0.4871656000614166, 1.2309850454330444, 0.37538182735443115]"
11,2,0.00018322467803955078,0.3773130774497986,0.1362551748752594,0.0010242462158203125,0.14978861808776855,0.06172226369380951,0.0008456707000732422,0.0011228322982788086,0.0009922584285959601,"[-2.733133316040039, 1.117842197418213, 2.002423048019409]","[0.10636276006698608, -0.7812231183052063, 0.32795408368110657, 1.3097537755966187]"
11,3,0.0013554692268371582,0.35754555463790894,0.13339391350746155,0.0004906058311462402,0.17955094575881958,0.05947401374578476,0.006128072738647461,0.008466720581054688,0.007183551788330078,"[-2.733133316040039, 1.117842197418213, 2.002423048019409]","[0.4624508321285248, -0.7207574248313904, 1.0055983066558838, 0.6647129654884338]"
