Layer,Threshold,Min Pass %,Mean Pass %,Max Pass %
fc1,0.001,50.7%,0.0%,0.0%
fc1,0.005,93.3%,2.7%,0.0%
fc1,0.007,97.3%,4.7%,0.0%
fc1,0.01,99.3%,11.3%,0.0%
fc1,0.05,100.0%,44.7%,20.7%
fc1,0.1,100.0%,85.3%,35.3%
fc2,0.001,45.3%,0.0%,0.0%
fc2,0.005,83.3%,7.3%,0.0%
fc2,0.007,90.0%,10.0%,0.7%
fc2,0.01,92.0%,14.7%,4.0%
fc2,0.05,100.0%,66.0%,24.0%
fc2,0.1,100.0%,95.3%,52.0%
fc3,0.001,99.3%,99.3%,0.0%
fc3,0.005,99.3%,99.3%,99.3%
fc3,0.007,100.0%,99.3%,99.3%
fc3,0.01,100.0%,100.0%,99.3%
fc3,0.05,100.0%,100.0%,100.0%
fc3,0.1,100.0%,100.0%,100.0%
