Layer,Threshold,Min Pass %,Mean Pass %,Max Pass %
fc1,0.001,13.6%,0.0%,0.0%
fc1,0.005,47.6%,0.0%,0.0%
fc1,0.007,60.4%,0.0%,0.0%
fc1,0.01,70.8%,0.0%,0.0%
fc1,0.05,98.2%,1.6%,0.2%
fc1,0.1,99.8%,5.6%,1.2%
fc2,0.001,12.4%,0.0%,0.0%
fc2,0.005,47.2%,0.0%,0.0%
fc2,0.007,56.8%,0.0%,0.0%
fc2,0.01,68.6%,0.0%,0.0%
fc2,0.05,98.0%,4.2%,0.4%
fc2,0.1,100.0%,13.4%,1.8%
fc3,0.001,9.2%,4.8%,4.6%
fc3,0.005,22.8%,9.6%,8.8%
fc3,0.007,27.4%,12.4%,10.0%
fc3,0.01,34.0%,16.6%,12.6%
fc3,0.05,77.2%,49.8%,40.0%
fc3,0.1,91.8%,69.2%,55.0%
ALL LAYERS,0.001,-,-,0.0%
ALL LAYERS,0.005,-,-,0.0%
ALL LAYERS,0.007,-,-,0.0%
ALL LAYERS,0.01,-,-,0.0%
ALL LAYERS,0.05,-,-,0.2%
ALL LAYERS,0.1,-,-,0.8%
