rank,input_1_orig_prob,input_1_perturbed_prob,input_2_orig_prob,input_2_perturbed_prob,input_3_orig_prob,input_3_perturbed_prob,input_4_orig_prob,input_4_perturbed_prob,input_5_orig_prob,input_5_perturbed_prob,input_6_orig_prob,input_6_perturbed_prob,input_7_orig_prob,input_7_perturbed_prob,input_8_orig_prob,input_8_perturbed_prob,input_9_orig_prob,input_9_perturbed_prob,input_10_orig_prob,input_10_perturbed_prob,input_11_orig_prob,input_11_perturbed_prob,input_12_orig_prob,input_12_perturbed_prob,input_13_orig_prob,input_13_perturbed_prob,input_14_orig_prob,input_14_perturbed_prob,input_15_orig_prob,input_15_perturbed_prob,input_16_orig_prob,input_16_perturbed_prob,input_17_orig_prob,input_17_perturbed_prob,input_18_orig_prob,input_18_perturbed_prob,input_19_orig_prob,input_19_perturbed_prob,input_20_orig_prob,input_20_perturbed_prob,input_21_orig_prob,input_21_perturbed_prob,input_22_orig_prob,input_22_perturbed_prob,input_23_orig_prob,input_23_perturbed_prob,input_24_orig_prob,input_24_perturbed_prob,input_25_orig_prob,input_25_perturbed_prob
1,0.8930634260177612,0.3315927386283874,0.9200286865234376,0.4169722199440002,0.7385081052780151,0.389980137348175,0.4901208877563476,0.4138162434101105,0.9913066029548644,0.2605498433113098,0.9062568545341492,0.3652292788028717,0.5322706699371338,0.4470432698726654,0.9293559193611144,0.3723134696483612,0.4756608307361603,0.377165675163269,0.5087699294090271,0.243242934346199,0.9111871123313904,0.4119138717651367,0.731712281703949,0.3956215381622314,0.8650976419448853,0.2806248962879181,0.7526206374168396,0.4760642349720001,0.9917932152748108,0.7930832505226135,0.9036428928375244,0.4255836009979248,0.2508898675441742,0.1998791098594665,0.5526973605155945,0.4107653796672821,0.9061866402626038,0.295007050037384,0.949442982673645,0.3833182156085968,0.9769040942192078,0.3815921545028686,0.9685146808624268,0.5778362154960632,0.7723700404167175,0.3414074182510376,0.9991152882575988,0.7299957275390625,0.9105620980262756,0.2102536112070083
2,0.0345411486923694,0.3311291337013244,0.0289103519171476,0.4164134860038757,0.0972119346261024,0.3894724249839782,0.3250536620616913,0.4119443297386169,0.0015648604603484,0.2601992189884186,0.0346381813287735,0.3652020990848541,0.3652229607105255,0.4464314877986908,0.0234013553708791,0.3716961741447449,0.2955840229988098,0.3769865930080414,0.0856245830655098,0.2430196404457092,0.0449389517307281,0.411792904138565,0.1517787277698516,0.3946929574012756,0.0343238748610019,0.2800928354263305,0.2103116065263748,0.4756358563899994,0.0009010271169245,0.0314098857343196,0.0524729676544666,0.4248633980751037,0.1693635880947113,0.19967982172966,0.2700221240520477,0.4102000892162323,0.0178594589233398,0.2335737347602844,0.017627390101552,0.3831880986690521,0.0096334563568234,0.3815179169178009,0.0052483659237623,0.1119283214211463,0.0785801112651825,0.3404989242553711,0.0006871177465654,0.2620164155960083,0.0139086255803704,0.2100666165351867
3,0.0096845747902989,0.047940969467163,0.0154372164979577,0.0302785634994506,0.0498574972152709,0.0681163370609283,0.1194196492433548,0.1147181540727615,0.001358552952297,0.0921105667948722,0.0223747584968805,0.1339749544858932,0.0222409348934888,0.0222519226372241,0.0141633506864309,0.0891300290822982,0.0735138431191444,0.0757540836930275,0.0519172474741935,0.058489866554737,0.0353460609912872,0.1611288189888,0.0978563725948333,0.1864262521266937,0.0217429921030998,0.129972219467163,0.0076610166579484,0.0094926469027996,0.0008158271666616,0.0220423210412263,0.0054452503100037,0.0218729600310325,0.0760518461465835,0.0778900682926178,0.0884298086166381,0.0858439803123474,0.01649796590209,0.1848012953996658,0.0066426331177353,0.044940672814846,0.0021849768236279,0.0504220463335514,0.0025134955067187,0.0403790920972824,0.0404685586690902,0.0889068245887756,0.0001055289976648,0.0043462803587317,0.0108407093212008,0.1295045912265777
4,0.0070159481838345,0.0302106551826,0.0028025298379361,0.0104122683405876,0.0143962819129228,0.0230438653379678,0.0150141548365354,0.013734214939177,0.0009897861164063,0.0879632979631424,0.0105454875156283,0.043646965175867,0.0116775743663311,0.0122246472164988,0.0073246215470135,0.0510556362569332,0.0369576774537563,0.0400641821324825,0.0406078994274139,0.042296178638935,0.0036841940600425,0.0067358841188251,0.0040420587174594,0.0050344350747764,0.0128631331026554,0.0474158264696598,0.0058985650539398,0.0075275935232639,0.0006078685983084,0.0159034002572298,0.0043988237157464,0.0132232699543237,0.0708663538098335,0.0767109468579292,0.0378956757485866,0.0421605631709098,0.0110577093437314,0.0326614193618297,0.0055506518110632,0.043426264077425,0.0015869189519435,0.0370159298181533,0.0021059506107121,0.0351951643824577,0.0322009027004241,0.0677188485860824,1.744856490404345e-05,0.0008423077524639,0.0093393772840499,0.0920153707265853
5,0.0055358251556754,0.0294873919337987,0.0025782042648643,0.0078721418976783,0.0134501224383711,0.0218800641596317,0.0117524666711688,0.0104032885283231,0.0006912351818755,0.0782689377665519,0.0048432946205139,0.0249190293252468,0.0112446174025535,0.0119870929047465,0.0058673862367868,0.0330033786594867,0.0238048713654279,0.026042602956295,0.0289872195571661,0.0414396673440933,0.0032887619454413,0.0053114355541765,0.0027446902822703,0.0039998237043619,0.0114213144406676,0.0411898866295814,0.0051057320088148,0.0063907732255756,0.0004907599650323,0.014230016618967,0.0033681115601211,0.0120358606800436,0.0504987016320228,0.0555276125669479,0.0184318926185369,0.0183827169239521,0.0044644260779023,0.0204553734511137,0.0054809330031275,0.0413964726030826,0.0013761526206508,0.0348193421959877,0.0020871183369308,0.0259005259722471,0.0193274058401584,0.0427311286330223,1.554244772705715e-05,0.0005785294342786,0.0067598856985569,0.0518916510045528
6,0.0042777340859174,0.0254423711448907,0.002198300557211,0.0074478224851191,0.012739835307002,0.0151754179969429,0.0073282932862639,0.0069966441951692,0.0005851472960785,0.0451442785561084,0.0035753992851823,0.0078549291938543,0.0087989810854196,0.009252656251192,0.0036771057639271,0.0218633022159338,0.01902487128973,0.0213515926152467,0.023420987650752,0.0374431870877742,0.0003857070114463,0.0007656410452909,0.0014557060785591,0.0015859224367886,0.0055832639336586,0.0290993228554725,0.0012920139124616,0.0023865501862019,0.0004481752694118,0.0131461014971137,0.0032909179572016,0.0117056304588913,0.0501918047666549,0.0529536008834838,0.0166841261088848,0.0160627849400043,0.0039273425936698,0.0144950337707996,0.0046857348643243,0.0401763655245304,0.0012159048346802,0.0194095689803361,0.0016150886658579,0.012861811555922,0.0162802599370479,0.0353733636438846,1.2619313565664925e-05,0.0004872430872637,0.0058992491103708,0.0394211038947105
7,0.0034582926891744,0.02127574570477,0.0016063336515799,0.0068041551858186,0.010854123160243,0.0149744506925344,0.0028380495496094,0.0025485896039754,0.0003662037779577,0.0141675444319844,0.0024337177164852,0.0061288122087717,0.0076611088588833,0.0080652087926864,0.0035439727362245,0.0106181548908352,0.0121194757521152,0.0131517387926578,0.0233367979526519,0.0329385995864868,0.000229768367717,0.0006045056506991,0.0012113751145079,0.001558807096444,0.0039600674062967,0.0233747400343418,0.0010703573934733,0.0012511588865891,0.0003302542027086,0.0088699720799922,0.0030369095038622,0.0108085870742797,0.0465317890048027,0.0497250035405159,0.0094017433002591,0.0097989933565258,0.0036114531103521,0.0117677245289087,0.0018978141015395,0.0144594497978687,0.0004524767864495,0.0095427017658948,0.0009034615359269,0.0119010740891098,0.0076607512310147,0.0165549237281084,8.616620107204653e-06,0.0003231790033169,0.0049346182495355,0.027854885905981
8,0.0031993191223591,0.018344547599554,0.0015869259368628,0.0066488445736467,0.0078042251989245,0.0119850793853402,0.0026256630662828,0.0023771536070853,0.0001918901252793,0.0111280409619212,0.0013392616529017,0.0060459468513727,0.0058247633278369,0.0059571582823991,0.0014396348269656,0.0065783290192484,0.0118012586608529,0.0129311932250857,0.0176137257367372,0.0217323787510395,0.0001602220727363,0.0003279398661106,0.0007522962405346,0.0009039243450388,0.0028689899481832,0.015059114433825,0.0009464121540077,0.0012196480529382,0.0003270750166848,0.0082143358886241,0.0028140794020146,0.0069709718227386,0.0259983707219362,0.0248691998422145,0.0010855040745809,0.0012383797438815,0.0031655470374971,0.0099838329479098,0.0017101572593674,0.0104009639471769,0.0003306765283923,0.0071030538529157,0.0008427670691162,0.0101795857772231,0.0056890626437962,0.0111619960516691,6.711423793603899e-06,0.0003069682279601,0.0040976349264383,0.0254791118204593
9,0.0028357347473502,0.0152981784194707,0.0015443923184648,0.0064584319479763,0.0069819185882806,0.0065772095695137,0.0025004220660775,0.0022417858708649,0.0001863408397184,0.0108956256881356,0.0012526928912848,0.0046573500148952,0.0040213894098997,0.0040892492979764,0.0012374358484521,0.0059154080227017,0.0096911517903208,0.0110600758343935,0.0154131231829524,0.0213021207600832,4.628958413377404e-05,0.0001164011773653,0.0007283325539901,0.000806454278063,0.0025516205932945,0.0120372427627444,0.0008268620586022,0.0011065283324569,0.0002678625460248,0.0065839826129376,0.0020003453828394,0.0069062365218997,0.0220610816031694,0.0229149740189313,0.0005643704207614,0.0006148305837996,0.0022038421593606,0.0099837575107812,0.0012620242778211,0.0062792305834591,0.0003064062038902,0.0040620076470077,0.0008397633209824,0.0087181786075234,0.0054565127938985,0.011106270365417,6.378990747180069e-06,0.000201506743906,0.0038805026561021,0.0197280887514352
10,0.0023090422619134,0.0096946125850081,0.0014895653584972,0.0056991656310856,0.0057523790746927,0.0060875443741679,0.0024122444447129,0.0021785900462418,0.0001641996495891,0.0107921082526445,0.0010556882480159,0.0035515250638127,0.0035336592700332,0.0037114629521965,0.0011058513773605,0.0051563624292612,0.0060404292307794,0.0064749727025628,0.0142789185047149,0.015164528042078,4.562062895274721e-05,9.025341569213197e-05,0.0006415134994313,0.0007514901226386,0.0025199025403708,0.0081835016608238,0.0006913304096087,0.0008412389433942,0.0002535363018978,0.0037389143835753,0.0016764835454523,0.0067121968604624,0.0191704351454973,0.0200294032692909,0.0004740407457575,0.0004503871023189,0.001823813188821,0.0085594458505511,0.0007443089270964,0.0051929466426372,0.0003018946736119,0.0039522424340248,0.0008165334002114,0.0081563144922256,0.0047832615673542,0.0098035028204321,3.005028929692344e-06,9.206948016071692e-05,0.0030192404519766,0.0180881693959236
