input_id,epsilon,z_rank1_idx,z_rank1_val,z_rank2_idx,z_rank2_val,z_rank3_idx,z_rank3_val,z_rank4_idx,z_rank4_val,z_rank5_idx,z_rank5_val,z_rank6_idx,z_rank6_val,z_rank7_idx,z_rank7_val,z_rank8_idx,z_rank8_val,z_rank9_idx,z_rank9_val,z_rank10_idx,z_rank10_val,z_rank11_idx,z_rank11_val,z_rank12_idx,z_rank12_val,z_rank13_idx,z_rank13_val,z_rank14_idx,z_rank14_val,z_rank15_idx,z_rank15_val,z_rank16_idx,z_rank16_val,z_rank17_idx,z_rank17_val,z_rank18_idx,z_rank18_val,z_rank19_idx,z_rank19_val,z_rank20_idx,z_rank20_val
1,0.1,1512,39.65625,1927,-13.053125381469728,392,11.990625381469728,3971,11.681249618530272,269,10.646875381469728,2660,-9.709375381469728,2358,9.59375,2184,-9.396875381469728,3830,8.9921875,3402,8.954687118530273,2330,8.560937881469727,2604,-8.5,2977,-7.9921875,1130,-7.86328125,486,-7.830468654632568,1360,-7.661718845367432,3241,7.567968845367432,272,-7.1171875,3582,-7.109375,3981,6.984375
2,0.1,1360,-17.850000381469727,3241,16.959375381469727,2660,-14.600000381469728,3684,-10.779687881469728,1176,-9.9375,3830,9.84375,269,9.415624618530272,1314,8.328125,2021,-8.271875381469727,3971,8.264062881469727,392,8.068750381469727,486,-8.032812118530273,2184,-7.959374904632568,3556,-7.932031154632568,2084,-7.810156345367432,2604,-7.795312404632568,2281,-7.7734375,2358,7.708593845367432,1839,-7.607812404632568,1888,-7.32421875
3,0.1,3241,7.174218654632568,1839,-6.420312404632568,2004,5.810937404632568,1176,-5.705468654632568,3727,5.51171875,2575,5.2734375,273,-5.1875,1927,-5.125,3831,5.0859375,2404,-4.94921875,3905,-4.921875,3743,4.9140625,2002,-4.8984375,1026,4.8984375,1788,4.890625,3028,4.87109375,445,-4.76953125,3200,4.661718845367432,3114,4.65625,269,4.650000095367432
4,0.1,392,10.131250381469728,2298,9.96875,3241,9.196874618530272,3402,8.790624618530273,1512,8.71875,514,-8.3515625,2042,-8.240625381469727,3971,7.837500095367432,2084,-7.8046875,2425,-7.53125,1927,-7.178124904632568,1598,-7.03125,4053,-6.9453125,2118,6.578125,2611,-6.53515625,3839,6.529687404632568,4076,-6.4609375,3197,-6.453125,3,-6.3671875,2660,-6.321875095367432
5,0.1,3241,16.649999618530273,1360,-12.564062118530272,2617,9.350000381469728,269,9.09375,3556,-8.181249618530273,3839,7.990624904632568,3402,7.931250095367432,2042,-7.846093654632568,3971,7.834374904632568,2771,-7.017968654632568,2569,6.701562404632568,3391,-6.665625095367432,2660,-6.618750095367432,1927,-6.568749904632568,2004,-6.502343654632568,3571,-6.252343654632568,3383,6.220312595367432,380,-6.165625095367432,1838,6.146093845367432,4090,6.134375095367432
6,0.1,3241,15.7734375,787,14.482812881469728,1415,13.959375381469728,2611,-13.353124618530272,1839,-12.954687118530272,2084,-12.907812118530272,3444,12.564062118530272,3684,-11.071874618530272,1360,-10.368749618530272,3700,9.296875,149,9.235937118530272,3556,-8.517187118530273,1927,-8.498437881469727,2021,-8.118749618530273,3909,7.959374904632568,470,7.509375095367432,1573,-7.360937595367432,1681,-7.3359375,2357,-7.171875,3402,7.03515625
7,0.1,1512,23.875,525,9.828125,2118,7.9453125,2617,-7.803124904632568,3967,-7.359375,392,7.296875,486,-7.2109375,3637,-7.06640625,2813,6.6171875,2021,-6.5625,347,-6.419531345367432,2330,6.39453125,2660,-6.29296875,1176,-6.25,148,-6.1875,1324,-6.15234375,3241,6.046875,2509,-6.0,3482,-5.921875,2042,5.875
8,0.1,3241,16.21875,3556,-15.774999618530272,3444,15.21875,2084,-13.978124618530272,1360,-13.103124618530272,1839,-12.915624618530272,3971,12.548437118530272,1415,12.201562881469728,787,10.537500381469728,2611,-10.423437118530272,3909,8.935937881469727,2660,-8.228124618530273,1573,-8.056249618530273,2357,-7.4453125,2021,-7.142187595367432,1640,-7.099999904632568,1681,-6.798437595367432,4076,-6.40625,470,6.196875095367432,3402,6.170312404632568
9,0.1,3241,16.056249618530273,2084,-13.984375,1360,-12.006250381469728,392,11.046875,2660,-10.6640625,3971,9.353124618530272,269,9.0625,1176,-9.0078125,4076,-8.264062881469727,3556,-8.079687118530273,1839,-8.0078125,2281,-7.18359375,1512,6.65625,1927,-6.62890625,2021,-6.610937595367432,2358,6.35546875,2184,-6.27734375,3150,6.2734375,3830,6.06640625,1681,-6.01171875
10,0.1,2084,-15.506250381469728,3700,13.506250381469728,2660,-13.162500381469728,1176,-11.6875,3971,11.592187881469728,3444,10.296875,2042,-10.045312881469728,1839,-9.743749618530272,3684,-9.475000381469728,3830,9.421875,4053,8.9765625,1360,-8.482812881469727,3402,8.271875381469727,257,-8.1953125,2622,-8.162500381469727,4076,-8.096094131469727,3061,-7.829687595367432,525,7.4296875,3826,7.4296875,2281,-7.412499904632568
11,0.1,3241,25.412500381469727,1360,-23.037500381469727,1839,-15.350000381469728,2084,-14.935937881469728,2660,-14.482812881469728,392,14.1875,787,11.732812881469728,1512,11.46875,3971,10.46875,3556,-10.209375381469728,269,9.796875,3494,-9.600000381469728,1640,-8.693750381469727,2021,-8.670312881469727,2002,-8.662500381469727,3684,-8.537500381469727,1573,-8.185937881469727,4076,-7.709374904632568,3383,7.4453125,470,7.443749904632568
12,0.1,3241,12.904687881469728,1512,12.8984375,1360,-12.115625381469728,3556,-12.068750381469728,2660,-10.615625381469728,2084,-10.498437881469728,3402,10.15625,2358,10.071874618530272,1839,-9.451562881469728,2617,9.181249618530272,3971,8.140625,2002,-8.109375,3591,7.9296875,2021,-7.685937404632568,3208,-7.493750095367432,1415,7.228906154632568,2215,7.05859375,3700,7.0546875,787,6.8984375,1573,-6.889062404632568
13,0.1,1512,13.359375,3556,9.990625381469728,317,-9.625,1573,7.955468654632568,787,-7.584374904632568,1176,7.279687404632568,3700,7.243750095367432,74,-7.2421875,2891,-6.924218654632568,1927,-6.853906154632568,269,6.515625,3800,-6.49609375,2357,6.3515625,2169,-6.296875,2425,-6.296875,692,-6.2734375,3224,-6.1484375,1740,6.11328125,994,-6.087500095367432,2660,-6.03125
14,0.1,1512,41.25,2660,-17.9375,1839,-17.412500381469727,2084,-17.100000381469727,3556,-15.498437881469728,3241,15.225000381469728,1360,-14.514062881469728,2002,-12.484375,1573,-12.225000381469728,3402,10.217187881469728,149,9.943750381469728,2021,-9.693750381469728,470,9.670312881469728,2611,-9.428125381469728,2209,-9.0,1640,-8.96875,3208,-8.4453125,3142,8.2265625,1415,7.73046875,3826,7.375
15,0.1,1360,-15.967187881469728,2660,-11.928125381469728,3241,11.795312881469728,2084,-9.271875381469728,1927,-9.115625381469728,269,8.298437118530273,3830,8.139062881469727,1839,-8.045312881469727,392,8.040624618530273,3971,7.990624904632568,2358,7.482031345367432,2533,7.349999904632568,3494,-6.998437404632568,3582,-6.810937404632568,2021,-6.803124904632568,1415,6.545312404632568,3263,-6.322656154632568,486,-6.310156345367432,3967,-6.248437404632568,2977,-6.084374904632568
16,0.1,1512,29.5,392,11.171875,1927,-9.006250381469727,3402,8.814062118530273,2042,-8.53125,2533,-8.025781631469727,2358,7.5390625,269,7.240624904632568,3971,7.220312595367432,2573,6.36328125,2002,6.33203125,1573,6.244531154632568,514,-6.1328125,933,6.0546875,2184,-5.9921875,57,-5.6953125,45,5.62890625,20,5.5859375,511,-5.359375,2624,-5.35546875
17,0.1,1512,49.375,2002,9.7421875,3591,8.6015625,3700,7.9765625,1176,6.890625,3402,6.79296875,2042,-6.6875,2084,6.631249904632568,3391,-6.546875,112,5.953125,2281,-5.93359375,1573,5.502343654632568,286,5.4921875,3937,-5.31640625,41,-5.265625,3448,5.2578125,235,5.11328125,171,4.9453125,2497,-4.8203125,1604,4.79296875
18,0.1,1512,15.28125,3402,9.6875,2660,-7.056250095367432,2617,5.68359375,3366,5.671875,3208,-5.56640625,4053,5.1953125,3444,5.171875,2806,-4.953125,1870,-4.890625,794,-4.78515625,548,4.75390625,4009,-4.56640625,682,4.5625,2021,-4.5546875,3097,4.5390625,3241,4.514062404632568,4076,-4.51171875,2042,-4.48828125,2364,4.48046875
19,0.1,392,14.009374618530272,2084,-13.318750381469728,1512,12.396875381469728,3241,11.779687881469728,3971,10.592187881469728,3402,10.373437881469728,3830,10.146875381469728,1003,-9.868749618530272,1927,-9.649999618530272,2357,-9.493749618530272,3170,9.170312881469728,4076,-9.162500381469728,2660,-8.975000381469727,1176,-8.959375381469727,1360,-8.857812881469727,2298,8.834375381469727,2617,8.681249618530273,787,8.560937881469727,2330,8.548437118530273,3700,8.060937881469727
20,0.1,1839,-15.142187118530272,2660,-14.462499618530272,1360,-13.798437118530272,3241,13.009374618530272,392,12.328125,2084,-10.157812118530272,3830,10.0390625,269,8.821874618530273,3402,8.787500381469727,787,8.345312118530273,1573,-8.290624618530273,1512,8.046875,2604,-7.838281154632568,3971,6.9453125,2281,-6.8828125,1888,-6.796875,3561,-6.7734375,3037,6.5546875,1825,6.521093845367432,220,6.43359375
21,0.1,1512,63.72499847412109,1360,-17.853124618530273,2660,-16.728124618530273,3402,12.509374618530272,3241,11.665624618530272,3700,11.642187118530272,3556,-11.501562118530272,1839,-11.470312118530272,269,11.396875381469728,1335,-10.290624618530272,2215,9.978124618530272,4053,9.935937881469728,787,9.353124618530272,3839,-9.251562118530272,3591,8.646875381469727,2611,-8.6171875,1,-8.115625381469727,3224,-7.99609375,2357,7.790625095367432,1745,-7.764062404632568
