rank,input_1_z,input_1_perturbed_z,input_2_z,input_2_perturbed_z,input_3_z,input_3_perturbed_z,input_4_z,input_4_perturbed_z,input_5_z,input_5_perturbed_z,input_6_z,input_6_perturbed_z,input_7_z,input_7_perturbed_z,input_8_z,input_8_perturbed_z,input_9_z,input_9_perturbed_z,input_10_z,input_10_perturbed_z,input_11_z,input_11_perturbed_z,input_12_z,input_12_perturbed_z,input_13_z,input_13_perturbed_z,input_14_z,input_14_perturbed_z,input_15_z,input_15_perturbed_z,input_16_z,input_16_perturbed_z,input_17_z,input_17_perturbed_z,input_18_z,input_18_perturbed_z,input_19_z,input_19_perturbed_z,input_20_z,input_20_perturbed_z,input_21_z,input_21_perturbed_z,input_22_z,input_22_perturbed_z,input_23_z,input_23_perturbed_z,input_24_z,input_24_perturbed_z,input_25_z,input_25_perturbed_z
1,1512:39.6562,1512:39.6562,1360:-17.7500,1360:-17.8500,3241:7.0742,3241:7.1742,392:10.0312,392:10.1313,3241:16.7500,3241:16.6500,3241:15.7734,3241:15.7734,1512:23.8750,1512:23.8750,3241:16.2188,3241:16.2188,3241:16.1562,3241:16.0562,2084:-15.4062,2084:-15.5063,3241:25.3125,3241:25.4125,1512:12.8984,3241:12.9047,1512:13.3594,1512:13.3594,1512:41.2500,1512:41.2500,1360:-15.8672,1360:-15.9672,1512:29.5000,1512:29.5000,1512:49.3750,1512:49.3750,1512:15.2812,1512:15.2812,392:14.1094,392:14.0094,1839:-15.2422,1839:-15.1422,1512:63.6250,1512:63.7250,1360:-16.6719,1360:-16.7719,1512:31.4844,1512:31.4844,3241:9.6719,3241:9.7719,1512:46.1875,1512:46.2875
2,1927:-12.9531,1927:-13.0531,3241:16.8594,3241:16.9594,1839:-6.3203,1839:-6.4203,2298:9.9688,2298:9.9688,1360:-12.6641,1360:-12.5641,787:14.3828,787:14.4828,525:9.8281,525:9.8281,3556:-15.8750,3556:-15.7750,2084:-13.9844,2084:-13.9844,3700:13.4062,3700:13.5063,1360:-22.9375,1360:-23.0375,3241:12.8047,1512:12.8984,3556:9.8906,3556:9.9906,2660:-17.9375,2660:-17.9375,2660:-11.8281,2660:-11.9281,392:11.1719,392:11.1719,2002:9.7422,2002:9.7422,3402:9.6875,3402:9.6875,2084:-13.2188,2084:-13.3188,2660:-14.5625,2660:-14.4625,1360:-17.9531,1360:-17.8531,3241:14.9219,3241:15.0219,1360:-8.6562,1360:-8.7563,3402:7.3672,3402:7.4672,2660:-13.3594,2660:-13.2594
3,392:11.8906,392:11.9906,2660:-14.5000,2660:-14.6000,2004:5.7109,2004:5.8109,3241:9.2969,3241:9.1969,2617:9.2500,2617:9.3500,1415:13.8594,1415:13.9594,2118:7.9453,2118:7.9453,3444:15.2188,3444:15.2188,1360:-11.9062,1360:-12.0063,2660:-13.0625,2660:-13.1625,1839:-15.2500,1839:-15.3500,1360:-12.0156,1360:-12.1156,317:-9.6250,317:-9.6250,1839:-17.3125,1839:-17.4125,3241:11.6953,3241:11.7953,3402:8.9141,1927:-9.0063,3591:8.6016,3591:8.6016,2660:-7.1562,2660:-7.0563,1512:12.2969,1512:12.3969,1360:-13.8984,1360:-13.7984,2660:-16.8281,2660:-16.7281,2084:-13.6328,2084:-13.7328,2660:-8.6250,2660:-8.7250,2368:-6.6797,2368:-6.7797,1839:-11.2656,1839:-11.1656
4,3971:11.7812,3971:11.6812,3684:-10.6797,3684:-10.7797,1176:-5.6055,1176:-5.7055,3402:8.8906,3402:8.7906,269:9.0938,269:9.0938,2611:-13.4531,2611:-13.3531,2617:-7.7031,2617:-7.8031,2084:-14.0781,2084:-13.9781,392:11.0469,392:11.0469,1176:-11.6875,1176:-11.6875,2084:-14.8359,2084:-14.9359,3556:-11.9688,3556:-12.0688,1573:7.8555,1573:7.9555,2084:-17.0000,2084:-17.1000,2084:-9.1719,2084:-9.2719,1927:-8.9062,3402:8.8141,3700:7.9766,3700:7.9766,2617:5.6836,2617:5.6836,3241:11.6797,3241:11.7797,3241:13.1094,3241:13.0094,3402:12.6094,3402:12.5094,2660:-13.3750,2660:-13.4750,269:8.2969,269:8.1969,2660:-6.6016,2660:-6.5016,3402:10.7031,3402:10.6031
5,269:10.5469,269:10.6469,1176:-9.9375,1176:-9.9375,3727:5.5117,3727:5.5117,1512:8.7188,1512:8.7188,3556:-8.2812,3556:-8.1812,1839:-13.0547,1839:-12.9547,3967:-7.3594,3967:-7.3594,1360:-13.2031,1360:-13.1031,2660:-10.6641,2660:-10.6641,3971:11.4922,3971:11.5922,2660:-14.3828,2660:-14.4828,2660:-10.5156,2660:-10.6156,787:-7.4844,787:-7.5844,3556:-15.3984,3556:-15.4984,1927:-9.0156,1927:-9.1156,2042:-8.5312,2042:-8.5312,1176:6.8906,1176:6.8906,3366:5.6719,3366:5.6719,3971:10.4922,3971:10.5922,392:12.3281,392:12.3281,3241:11.7656,3241:11.6656,2358:10.5156,2002:-10.4594,2002:-8.1328,2002:-8.1328,392:6.5078,392:6.4078,1360:-9.8516,1360:-9.7516
6,2660:-9.6094,2660:-9.7094,3830:9.8438,3830:9.8438,2575:5.2734,2575:5.2734,514:-8.3516,514:-8.3516,3402:8.0312,3839:7.9906,2084:-13.0078,2084:-12.9078,392:7.2969,392:7.2969,1839:-13.0156,1839:-12.9156,3971:9.4531,3971:9.3531,3444:10.2969,3444:10.2969,392:14.1875,392:14.1875,2084:-10.3984,2084:-10.4984,3700:7.3438,1176:7.2797,3241:15.1250,3241:15.2250,269:8.3984,269:8.2984,2533:-7.9258,2533:-8.0258,3402:6.7930,3402:6.7930,3208:-5.5664,3208:-5.5664,3402:10.2734,3402:10.3734,2084:-10.2578,2084:-10.1578,3700:11.7422,3700:11.6422,2002:-10.3594,2358:10.4156,2004:7.4219,2004:7.4219,3556:-6.0625,3556:-6.1625,112:9.3906,112:9.2906
7,2358:9.5938,2358:9.5938,269:9.5156,269:9.4156,273:-5.1875,273:-5.1875,2042:-8.1406,2042:-8.2406,3839:7.8906,3402:7.9313,3444:12.6641,3444:12.5641,486:-7.2109,486:-7.2109,3971:12.6484,3971:12.5484,269:9.0625,269:9.0625,2042:-9.9453,2042:-10.0453,787:11.6328,787:11.7328,2358:10.1719,3402:10.1562,74:-7.2422,3700:7.2438,1360:-14.4141,1360:-14.5141,392:8.1406,3830:8.1391,2358:7.5391,2358:7.5391,2042:-6.6875,2042:-6.6875,4053:5.1953,4053:5.1953,3830:10.0469,3830:10.1469,3830:10.0391,3830:10.0391,3556:-11.6016,3556:-11.5016,1176:-10.2812,1176:-10.3813,1927:-6.8125,1927:-6.8125,1076:-6.0469,1076:-6.1469,4053:9.2109,4053:9.1109
8,2184:-9.2969,2184:-9.3969,1314:8.3281,1314:8.3281,1927:-5.1250,1927:-5.1250,3971:7.9375,3971:7.8375,2042:-7.7461,2042:-7.8461,3684:-11.1719,3684:-11.0719,3637:-7.0664,3637:-7.0664,1415:12.1016,1415:12.2016,1176:-9.0078,1176:-9.0078,1839:-9.8438,1839:-9.7437,1512:11.4688,1512:11.4688,3402:10.1562,2358:10.0719,1176:7.1797,74:-7.2422,2002:-12.4844,2002:-12.4844,3830:8.0391,1839:-8.0453,3971:7.3203,269:7.2406,3391:-6.5469,2084:6.6312,3444:5.1719,3444:5.1719,1003:-9.9688,1003:-9.8687,269:8.9219,269:8.8219,1839:-11.5703,1839:-11.4703,3684:-10.2109,3684:-10.3109,1839:-6.5156,1839:-6.5156,787:5.9297,787:6.0297,3800:-9.0234,3800:-9.0234
9,3402:9.0547,3830:8.9922,2021:-8.1719,2021:-8.2719,3831:5.0859,3831:5.0859,2084:-7.8047,2084:-7.8047,3971:7.7344,3971:7.8344,1360:-10.4688,1360:-10.3687,2813:6.6172,2813:6.6172,2611:-10.5234,787:10.5375,3556:-8.1797,4076:-8.2641,3830:9.4219,3684:-9.4750,3971:10.4688,3971:10.4688,1839:-9.3516,1839:-9.4516,2891:-6.8242,2891:-6.9242,1573:-12.1250,1573:-12.2250,1839:-7.9453,392:8.0406,269:7.1406,3971:7.2203,2084:6.5312,3391:-6.5469,2806:-4.9531,2806:-4.9531,1927:-9.7500,1927:-9.6500,3402:8.6875,3402:8.7875,269:11.2969,269:11.3969,2021:-10.0781,2021:-10.1781,3700:-6.4805,3700:-6.4805,1465:5.6172,3837:5.5453,392:8.7812,392:8.6812
10,3830:8.9922,3402:8.9547,3971:8.1641,3971:8.2641,2404:-4.9492,2404:-4.9492,2425:-7.5312,2425:-7.5312,2771:-6.9180,2771:-7.0180,149:9.3359,3700:9.2969,2021:-6.5625,2021:-6.5625,787:10.4375,2611:-10.4234,4076:-8.1641,3556:-8.0797,3684:-9.3750,3830:9.4219,3556:-10.1094,3556:-10.2094,2617:9.2812,2617:9.1812,1927:-6.7539,1927:-6.8539,3402:10.1172,3402:10.2172,3971:7.8906,3971:7.9906,2573:6.3633,2573:6.3633,112:5.9531,112:5.9531,1870:-4.8906,1870:-4.8906,2357:-9.5938,2357:-9.4937,787:8.4453,787:8.3453,1335:-10.3906,1335:-10.2906,392:9.5781,392:9.6781,2404:-6.2812,704:6.3734,1839:-5.5664,1465:5.5172,3700:8.5781,3700:8.4781
