num_neurons_perturbed,baseline_min_epsilon,baseline_avg_epsilon,baseline_max_epsilon,constrained_min_epsilon,constrained_avg_epsilon,constrained_max_epsilon
1,4.9,29.783,68.7,3.9,30.8681,87.6
2,2.2,18.3064,71.6,2.4,18.8106,69.2
3,1.6,13.316,52.2,1.9,14.77,83.4
4,1.4,10.3792,40.9,1.5,11.3375,72.4
5,1.2,8.4559,36.4,1.3,9.5085,56.2
6,1.1,7.4362,31.4,1.2,7.9255,46.0
7,1.0,6.949,27.9,1.0,7.5078,36.8
8,0.8,5.2082,24.1,0.8,5.4408,27.7
9,0.9,4.9783,19.7,1.0,5.1935,23.4
10,1.3,15.1459,18.4,1.4,17.0724,20.9
11,0.7,3.9545,15.7,0.7,4.1473,18.0
12,1.5,3.9293,14.2,1.5,4.0829,16.0
13,0.6,3.402,13.0,0.6,3.534,14.1
14,0.7,3.122,11.7,0.7,3.23,13.5
15,1.1,3.4308,11.2,1.1,3.6115,12.7
16,0.9,3.0391,10.7,0.9,3.1217,11.6
17,0.5,2.4613,9.9,0.5,2.5355,10.7
18,1.2,3.2545,9.3,1.2,3.3636,9.9
19,0.8,2.3698,8.7,0.8,2.434,9.4
20,1.0,2.6581,8.3,1.0,2.7209,8.9
21,1.0,2.3535,7.9,1.0,2.3977,8.6
22,0.5,2.0371,7.7,0.5,2.0839,8.3
23,0.4,1.7656,7.5,0.4,1.8164,8.1
24,0.9,2.5431,7.3,0.9,2.6235,7.8
25,0.7,2.0837,7.1,0.7,2.1186,7.5
26,0.8,1.795,6.8,0.8,1.8283,7.3
27,0.8,2.0405,6.6,0.8,2.0786,7.1
28,0.6,1.694,6.5,0.6,1.734,7.0
29,0.6,1.6098,6.4,0.6,1.6246,6.8
30,0.4,1.6738,6.2,0.4,1.7338,6.7
31,1.2,2.5545,6.1,1.2,2.6152,6.6
32,0.7,1.515,6.0,0.7,1.54,6.5
33,0.8,1.8432,5.9,0.8,1.8636,6.3
34,0.6,1.3152,5.8,0.6,1.3333,6.2
35,0.5,1.4236,5.7,0.5,1.4364,6.1
36,0.3,1.0727,5.6,0.3,1.0966,6.0
37,0.6,1.224,5.5,0.6,1.244,5.8
38,0.7,2.366,5.4,0.7,2.4532,5.7
39,0.5,1.2463,5.3,0.5,1.2741,5.6
40,0.6,1.1017,5.2,0.6,1.11,5.5
41,0.6,1.5763,5.1,0.6,1.6136,5.4
42,0.5,1.3525,3.9,0.5,1.37,4.1
43,0.5,1.0089,5.0,0.5,1.02,5.3
44,0.4,1.1627,4.9,0.4,1.178,5.2
45,0.6,1.2034,4.8,0.5,1.2169,5.1
46,0.3,0.8076,4.7,0.3,0.8337,5.0
47,0.7,1.3345,3.6,0.7,1.3564,3.8
48,0.5,1.0123,4.6,0.4,1.0193,4.8
49,0.5,0.95,4.5,0.5,0.9646,4.8
50,0.5,1.4452,4.1,0.5,1.4667,4.3
51,0.6,1.6339,4.4,0.6,1.6806,4.6
52,0.8,1.015,1.3,0.8,1.03,1.4
53,0.4,1.0492,4.3,0.4,1.0662,4.5
54,0.5,1.0404,3.2,0.4,1.0368,3.3
55,0.5,0.805,3.1,0.5,0.81,3.2
56,0.4,1.2729,4.2,0.3,1.3136,4.4
57,0.6,1.0545,3.0,0.6,1.0606,3.0
58,0.7,1.3884,4.1,0.7,1.4116,4.4
59,0.4,0.8333,3.3,0.4,0.8351,3.4
60,0.4,0.7255,3.2,0.4,0.7396,3.4
61,0.3,0.6653,4.0,0.3,0.6737,4.2
62,0.6,0.8622,1.8,0.6,0.8622,1.8
63,0.4,0.6844,3.1,0.4,0.6948,3.3
64,1.0,1.6679,3.9,1.0,1.7,4.1
65,0.5,0.7989,1.6,0.5,0.8043,1.7
66,0.9,1.6769,3.6,0.9,1.7,3.8
67,1.1,1.9385,3.8,1.1,1.9846,4.0
68,1.5,1.9,2.9,1.4,1.9143,3.0
69,0.5,0.892,3.5,0.5,0.9,3.6
70,0.4,0.8591,3.7,0.3,0.8731,3.9
71,0.2,0.3387,3.3,0.2,0.3422,3.4
72,0.4,0.8612,2.3,0.4,0.8687,2.4
73,0.6,1.002,3.6,0.6,1.0157,3.8
74,0.3,0.9817,3.2,0.3,1.0035,3.4
75,0.5,0.6452,1.0,0.5,0.6484,1.0
76,0.8,1.16,2.2,0.8,1.1633,2.2
77,3.5,3.5,3.5,3.6,3.6333,3.7
78,0.3,0.4198,1.3,0.3,0.419,1.3
79,0.5,0.9019,2.1,0.5,0.9056,2.2
80,0.5,1.0263,3.4,0.5,1.0474,3.6
81,0.3,0.6012,2.6,0.3,0.6037,2.7
82,0.7,1.025,2.0,0.7,1.0389,2.1
83,0.3,0.6282,2.5,0.2,0.6338,2.6
84,0.4,0.584,1.0,0.4,0.5864,1.0
85,3.1,3.1146,3.3,3.2,3.2195,3.5
86,0.7,0.9188,1.2,0.7,0.9156,1.2
87,0.3,0.546,2.4,0.3,0.5506,2.5
88,0.4,0.6763,3.2,0.4,0.6856,3.4
89,0.2,0.3133,1.9,0.2,0.3164,2.0
90,0.5,0.5,0.5,0.5,0.5038,0.6
91,0.5,0.847,2.3,0.5,0.8545,2.4
92,0.8,0.9174,1.1,0.8,0.913,1.1
93,0.7,1.2217,3.1,0.7,1.2522,3.3
