num_neurons_perturbed,baseline_min_epsilon,baseline_avg_epsilon,baseline_max_epsilon,constrained_min_epsilon,constrained_avg_epsilon,constrained_max_epsilon
1,4.9,12.45,17.6,3.9,14.075,18.2
2,2.2,10.3667,24.2,2.4,8.8333,12.3
3,1.6,6.0667,10.2,1.9,6.05,9.3
4,1.4,4.6833,8.5,1.5,4.6833,7.4
5,1.2,3.8333,6.9,1.3,3.6667,5.4
6,1.1,3.1,5.1,1.2,3.0667,4.3
7,1.0,2.8857,4.3,1.0,2.8857,4.5
8,0.8,2.1333,3.8,0.8,2.1444,4.0
9,2.0,2.4833,3.4,2.0,2.4833,3.6
10,1.8,2.1571,3.1,1.8,2.2429,3.4
11,0.7,1.7286,3.0,0.7,1.7571,3.1
12,1.5,1.9333,2.8,1.5,1.9167,2.9
13,0.6,1.3091,2.5,0.6,1.3364,2.7
14,1.2,1.7,2.4,1.2,1.7167,2.5
15,1.1,1.4286,2.3,1.1,1.4857,2.4
16,1.3,1.5667,2.2,1.3,1.5667,2.2
17,0.5,0.8917,2.0,0.5,0.9167,2.1
18,1.2,1.3667,1.9,1.2,1.4,2.0
19,0.9,1.1875,1.8,0.9,1.1875,1.9
20,1.1,1.3,1.7,1.1,1.35,1.8
21,1.0,1.075,1.3,1.0,1.075,1.2
22,0.8,1.0308,1.6,0.8,1.0538,1.7
23,0.4,0.5467,1.5,0.4,0.56,1.6
24,0.9,0.98,1.1,0.9,0.98,1.1
25,0.7,0.92,1.4,0.7,0.94,1.5
26,0.9,0.9429,1.0,0.9,0.9286,1.0
27,0.8,0.9875,1.3,0.8,1.0,1.4
29,0.6,0.7357,0.9,0.6,0.7357,0.9
30,0.8,0.96,1.2,0.8,0.98,1.3
32,0.7,0.75,0.8,0.7,0.74,0.8
34,0.7,0.8333,1.1,0.7,0.8333,1.1
35,0.5,0.5,0.5,0.5,0.5,0.5
36,0.3,0.3744,0.7,0.3,0.3837,0.8
37,0.6,0.7143,1.0,0.6,0.719,1.1
40,0.6,0.6,0.6,0.6,0.6,0.6
41,0.9,0.9,0.9,0.9,0.9167,1.0
44,0.4,0.4786,0.6,0.4,0.4821,0.7
45,0.6,0.6,0.6,0.5,0.5889,0.6
46,0.5,0.5,0.5,0.5,0.5,0.5
47,0.8,0.8,0.8,0.8,0.8125,0.9
48,0.5,0.5,0.5,0.5,0.5067,0.6
54,0.5,0.5,0.5,0.4,0.4938,0.5
55,0.5,0.5741,0.7,0.5,0.5815,0.8
59,0.4,0.4,0.4,0.4,0.4,0.4
61,0.3,0.3,0.3,0.3,0.3,0.3
63,0.4,0.4,0.4,0.4,0.4038,0.5
65,0.6,0.6,0.6,0.6,0.6067,0.7
70,0.4,0.4,0.4,0.3,0.3958,0.4
71,0.2,0.2,0.2,0.2,0.2026,0.3
72,0.4,0.4,0.4,0.4,0.4,0.4
80,0.5,0.5,0.5,0.5,0.5,0.5
81,0.3,0.3,0.3,0.3,0.3,0.3
89,0.3,0.3,0.3,0.3,0.3,0.3
94,0.3,0.3,0.3,0.2,0.2982,0.3
95,0.2,0.2,0.2,0.2,0.2,0.2
101,0.3,0.3,0.3,0.3,0.3015,0.4
102,0.4,0.4,0.4,0.4,0.4026,0.5
129,0.2,0.2,0.2,0.2,0.2,0.2
140,0.3,0.3,0.3,0.3,0.3023,0.4
143,0.2,0.2,0.2,0.2,0.2,0.2
150,0.2,0.2,0.2,0.2,0.2,0.2
166,0.2,0.2,0.2,0.2,0.2005,0.3
215,0.1,0.1,0.1,0.1,0.1,0.2
224,0.1,0.1,0.1,0.1,0.1001,0.2
226,0.2,0.2,0.2,0.2,0.2003,0.3
290,0.1,0.1,0.1,0.1,0.1,0.1
331,0.1,0.1,0.1,0.1,0.1,0.2
346,0.1,0.1,0.1,0.1,0.1,0.1
385,0.1,0.1,0.1,0.1,0.1,0.2
530,0.1,0.1,0.1,0.1,0.1,0.2
